# Constructed from biom file
#OTU ID	U307-before	U307-during	U310-before	U310-during	U311-before	U311-during	U312-before	U312-during	U313-before	U313-during	U315-before	U315-during	U316-before	U316-during	U317-before	U317-during	U318-before	U318-during	U322-before	U322-during	U323-before	U323-during	U325-before	U325-during	U326-before	U326-during	U327-before	U327-during	U328-before	U328-during	U329-before	U329-during	U331-before	U331-during	U332-before	U332-during	U333-before	U333-during	U334-before	U334-during	U335-before	U335-during	U336-before	U336-during	U338-before	U338-during	U339-before	U339-during	U341-before	U341-during	U343-before	U343-during	U344-before	U344-during
8e175abe6a746b8f33bae9cd7c8192bb	353.0	395.0	51.0	0.0	233.0	539.0	547.0	1637.0	0.0	0.0	367.0	600.0	30.0	65.0	890.0	1135.0	174.0	266.0	311.0	236.0	297.0	149.0	745.0	1909.0	579.0	1271.0	90.0	360.0	0.0	0.0	0.0	0.0	556.0	616.0	403.0	83.0	0.0	0.0	195.0	75.0	0.0	0.0	134.0	300.0	39.0	172.0	266.0	127.0	273.0	238.0	45.0	0.0	780.0	92.0
04645342dcaccc29b2078b063aec6f81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7103.0	9754.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69a11f927915e2a3ba1f7b9c84486527	323.0	171.0	0.0	0.0	0.0	0.0	505.0	1083.0	1261.0	582.0	102.0	83.0	851.0	137.0	17.0	21.0	142.0	218.0	121.0	627.0	0.0	0.0	0.0	12.0	698.0	791.0	295.0	1767.0	0.0	0.0	200.0	149.0	528.0	848.0	10.0	0.0	643.0	289.0	1294.0	380.0	257.0	439.0	0.0	0.0	0.0	0.0	603.0	444.0	5.0	9.0	49.0	4.0	8.0	0.0
9d5054752ed33d6a22bd0f96b5618b1c	0.0	0.0	68.0	70.0	25.0	90.0	0.0	0.0	0.0	0.0	960.0	353.0	0.0	0.0	455.0	812.0	259.0	222.0	0.0	0.0	0.0	0.0	54.0	102.0	573.0	930.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	343.0	267.0	508.0	0.0	0.0	288.0	285.0	167.0	682.0	0.0	0.0	22.0	27.0	1669.0	940.0	0.0	0.0	99.0	32.0	2014.0	3130.0
c6c3ab4e828fb40d6e05967b7aac9338	290.0	312.0	84.0	293.0	122.0	586.0	105.0	355.0	348.0	328.0	154.0	250.0	878.0	572.0	578.0	421.0	140.0	96.0	178.0	359.0	545.0	314.0	144.0	90.0	397.0	273.0	438.0	450.0	56.0	22.0	465.0	493.0	199.0	215.0	868.0	100.0	182.0	13.0	258.0	576.0	211.0	187.0	28.0	180.0	39.0	115.0	243.0	329.0	64.0	95.0	424.0	216.0	269.0	443.0
d8e7f9181e4d5a4a6453e9ca9996a43f	0.0	0.0	141.0	110.0	0.0	0.0	1090.0	2478.0	0.0	0.0	0.0	0.0	95.0	74.0	255.0	974.0	99.0	133.0	222.0	572.0	307.0	261.0	22.0	24.0	914.0	1505.0	0.0	0.0	0.0	0.0	865.0	239.0	180.0	220.0	337.0	522.0	0.0	0.0	0.0	0.0	638.0	1016.0	0.0	0.0	0.0	0.0	798.0	263.0	0.0	0.0	50.0	12.0	480.0	0.0
742e1f191223f58590661de80b9d6e3b	193.0	295.0	0.0	0.0	0.0	0.0	2600.0	1441.0	92.0	76.0	0.0	0.0	0.0	0.0	237.0	659.0	23.0	0.0	62.0	184.0	52.0	30.0	0.0	10.0	332.0	436.0	0.0	0.0	0.0	0.0	115.0	12.0	334.0	59.0	232.0	200.0	0.0	0.0	1430.0	264.0	295.0	290.0	0.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0	228.0	24.0	1869.0	171.0
1569f7ae988e26c905ab8fab427c8a0d	0.0	0.0	0.0	0.0	291.0	1001.0	0.0	0.0	325.0	106.0	0.0	0.0	0.0	0.0	529.0	1949.0	0.0	0.0	835.0	734.0	0.0	0.0	147.0	530.0	0.0	0.0	631.0	887.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	25.0	0.0	0.0	660.0	334.0	0.0	0.0	0.0	0.0	629.0	540.0	1056.0	152.0	311.0	147.0	19.0	0.0	0.0	0.0
5c4563e3dd7e12dcdf279783af929eaa	515.0	745.0	0.0	0.0	0.0	0.0	0.0	321.0	734.0	93.0	417.0	0.0	661.0	515.0	210.0	630.0	0.0	106.0	272.0	737.0	0.0	75.0	338.0	691.0	561.0	798.0	267.0	884.0	0.0	0.0	910.0	0.0	0.0	0.0	0.0	0.0	407.0	117.0	193.0	158.0	0.0	0.0	178.0	523.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0a68ec564e278b0246c920ad7de41880	255.0	303.0	28.0	193.0	135.0	721.0	64.0	264.0	117.0	114.0	152.0	743.0	184.0	120.0	293.0	363.0	125.0	103.0	79.0	111.0	684.0	1365.0	251.0	552.0	322.0	199.0	302.0	363.0	0.0	0.0	152.0	50.0	193.0	229.0	248.0	70.0	85.0	17.0	793.0	574.0	141.0	104.0	16.0	106.0	25.0	0.0	0.0	0.0	30.0	34.0	109.0	50.0	520.0	0.0
